"","1","2","3","4","5","6","7","8","9","10"
"ANC",0.847457627118644,0.641025641025641,0.584795321637427,0.657894736842105,0.719424460431655,0.746268656716418,0.769230769230769,0.78740157480315,0.806451612903226,0.833333333333333
"BFT",1,1.01010101010101,1.01010101010101,1,1,1,1,1,1,1
"BIL",0.806451612903226,0.657894736842105,0.641025641025641,0.625,0.602409638554217,0.595238095238095,0.598802395209581,0.598802395209581,0.588235294117647,0.574712643678161
"BLF",0.806451612903226,0.598802395209581,0.574712643678161,0.591715976331361,0.591715976331361,0.595238095238095,0.598802395209581,0.602409638554217,0.606060606060606,0.609756097560976
"BLS",0.833333333333333,0.531914893617021,0.515463917525773,0.510204081632653,0.510204081632653,0.518134715025907,0.529100529100529,0.543478260869565,0.555555555555556,0.564971751412429
"BPF",0.826446280991736,0.645161290322581,0.561797752808989,0.813008130081301,0.793650793650794,0.763358778625954,0.763358778625954,0.763358778625954,0.769230769230769,0.775193798449612
"BSB",0.636942675159236,0.714285714285714,0.72992700729927,0.735294117647059,0.740740740740741,0.746268656716418,0.75187969924812,0.757575757575758,0.769230769230769,0.775193798449612
"BUT",0.909090909090909,0.833333333333333,0.78125,0.833333333333333,0.840336134453782,0.840336134453782,0.847457627118644,0.847457627118644,0.862068965517241,0.869565217391304
"BWH",1,2.22222222222222,1.96078431372549,1.72413793103448,1.51515151515152,1.33333333333333,1.17647058823529,1.0752688172043,1,0.952380952380952
"COD",0.546448087431694,0.602409638554217,0.699300699300699,0.684931506849315,0.675675675675676,0.666666666666667,0.666666666666667,0.671140939597315,0.675675675675676,0.680272108843537
"DOG",0.934579439252336,0.91743119266055,0.925925925925926,0.934579439252336,0.943396226415094,0.952380952380952,0.970873786407767,0.980392156862745,0.980392156862745,0.99009900990099
"DRM",0.775193798449612,0.862068965517241,0.847457627118644,0.847457627118644,0.854700854700855,0.854700854700855,0.854700854700855,0.862068965517241,0.862068965517241,0.869565217391304
"DSH",0.628930817610063,0.625,0.606060606060606,0.628930817610063,0.666666666666667,0.699300699300699,0.740740740740741,0.775193798449612,0.813008130081301,0.854700854700855
"FDE",0.819672131147541,0.588235294117647,0.558659217877095,0.584795321637427,0.581395348837209,0.602409638554217,0.62111801242236,0.636942675159236,0.65359477124183,0.671140939597315
"FDF",0.806451612903226,0.578034682080925,0.591715976331361,0.606060606060606,0.609756097560976,0.617283950617284,0.628930817610063,0.636942675159236,0.649350649350649,0.662251655629139
"FLA",0.8,0.595238095238095,0.578034682080925,0.666666666666667,0.704225352112676,0.671140939597315,0.649350649350649,0.680272108843537,0.684931506849315,0.694444444444444
"FOU",0.719424460431655,0.740740740740741,0.746268656716418,0.8,0.78740157480315,0.78740157480315,0.8,0.819672131147541,0.833333333333333,0.847457627118644
"GOO",0.862068965517241,0.684931506849315,0.666666666666667,0.704225352112676,0.72992700729927,0.735294117647059,0.72992700729927,0.719424460431655,0.714285714285714,0.709219858156028
"HAD",0.53475935828877,0.555555555555556,0.555555555555556,0.561797752808989,0.568181818181818,0.578034682080925,0.591715976331361,0.602409638554217,0.617283950617284,0.632911392405063
"HAL",0.75187969924812,0.598802395209581,0.598802395209581,0.625,0.62111801242236,0.617283950617284,0.617283950617284,0.62111801242236,0.62111801242236,0.625
"HER",0.746268656716418,0.384615384615385,0.460829493087558,0.571428571428571,0.602409638554217,0.628930817610063,0.636942675159236,0.645161290322581,0.649350649350649,0.641025641025641
"INV",0.561797752808989,0.641025641025641,0.65359477124183,0.662251655629139,0.675675675675676,0.694444444444444,0.709219858156028,0.72463768115942,0.740740740740741,0.757575757575758
"LSK",0.819672131147541,0.641025641025641,0.641025641025641,0.65359477124183,0.671140939597315,0.684931506849315,0.694444444444444,0.709219858156028,0.719424460431655,0.735294117647059
"MAK",0.925925925925926,0.87719298245614,0.869565217391304,0.900900900900901,0.909090909090909,0.900900900900901,0.900900900900901,0.892857142857143,0.892857142857143,0.884955752212389
"MEN",0.980392156862745,0.862068965517241,0.854700854700855,0.869565217391304,0.87719298245614,0.87719298245614,0.87719298245614,0.87719298245614,0.87719298245614,0.87719298245614
"MPF",0.813008130081301,0.645161290322581,0.595238095238095,0.606060606060606,0.636942675159236,0.671140939597315,0.671140939597315,0.602409638554217,0.520833333333333,0.469483568075117
"OHK",0.628930817610063,0.684931506849315,0.680272108843537,0.689655172413793,0.709219858156028,0.72463768115942,0.740740740740741,0.757575757575758,0.78125,0.8
"OPT",0.53475935828877,0.595238095238095,0.591715976331361,0.588235294117647,0.591715976331361,0.598802395209581,0.606060606060606,0.613496932515337,0.62111801242236,0.65359477124183
"PIN",1,1.69491525423729,1.72413793103448,1.69491525423729,1.63934426229508,1.61290322580645,1.5625,1.51515151515152,1.49253731343284,1.44927536231884
"PLA",0.680272108843537,0.699300699300699,0.746268656716418,0.769230769230769,0.763358778625954,0.75187969924812,0.75187969924812,0.746268656716418,0.746268656716418,0.757575757575758
"POL",0.476190476190476,0.523560209424084,0.523560209424084,0.523560209424084,0.529100529100529,0.537634408602151,0.549450549450549,0.561797752808989,0.595238095238095,0.62111801242236
"POR",0.78125,0.505050505050505,0.50251256281407,0.5,0.50251256281407,0.518134715025907,0.537634408602151,0.558659217877095,0.578034682080925,0.591715976331361
"PSH",0.666666666666667,0.645161290322581,0.645161290322581,0.649350649350649,0.666666666666667,0.699300699300699,0.735294117647059,0.775193798449612,0.806451612903226,0.833333333333333
"RED",1,0.574712643678161,0.552486187845304,0.549450549450549,0.555555555555556,0.558659217877095,0.564971751412429,0.568181818181818,0.578034682080925,0.588235294117647
"REP",1,1.72413793103448,1.66666666666667,1.58730158730159,1.47058823529412,1.38888888888889,1.31578947368421,1.25,1.20481927710843,1.16279069767442
"RHK",0.543478260869565,0.578034682080925,0.578034682080925,0.584795321637427,0.591715976331361,0.602409638554217,0.613496932515337,0.632911392405063,0.645161290322581,0.666666666666667
"RWH",1,2.17391304347826,2,1.78571428571429,1.51515151515152,1.33333333333333,1.19047619047619,1.08695652173913,1.02040816326531,0.970873786407767
"SAL",0.78125,0.757575757575758,0.75187969924812,0.75187969924812,0.75187969924812,0.763358778625954,0.775193798449612,0.78125,0.793650793650794,0.806451612903226
"SB",1,1.66666666666667,1.72413793103448,1.69491525423729,1.66666666666667,1.63934426229508,1.61290322580645,1.58730158730159,1.5625,1.53846153846154
"SCU",0.680272108843537,0.709219858156028,0.72992700729927,0.735294117647059,0.740740740740741,0.746268656716418,0.757575757575758,0.763358778625954,0.775193798449612,0.775193798449612
"SDF",0.526315789473684,0.471698113207547,0.485436893203884,0.497512437810945,0.497512437810945,0.5,0.50251256281407,0.50761421319797,0.515463917525773,0.515463917525773
"SHK",0.99009900990099,1.01010101010101,0.769230769230769,0.694444444444444,0.680272108843537,0.689655172413793,0.763358778625954,0.813008130081301,0.819672131147541,0.819672131147541
"SK",0.775193798449612,0.675675675675676,0.662251655629139,0.666666666666667,0.680272108843537,0.699300699300699,0.709219858156028,0.72463768115942,0.746268656716418,0.769230769230769
"SMO",0.900900900900901,0.961538461538461,0.900900900900901,0.892857142857143,0.900900900900901,0.91743119266055,0.925925925925926,0.943396226415094,0.952380952380952,0.961538461538461
"SSH",0.884955752212389,0.813008130081301,0.746268656716418,0.746268656716418,0.757575757575758,0.775193798449612,0.793650793650794,0.806451612903226,0.813008130081301,0.819672131147541
"STB",0.606060606060606,0.606060606060606,0.613496932515337,0.62111801242236,0.628930817610063,0.636942675159236,0.645161290322581,0.657894736842105,0.675675675675676,0.689655172413793
"SUF",0.833333333333333,0.884955752212389,0.87719298245614,0.884955752212389,0.884955752212389,0.884955752212389,0.884955752212389,0.884955752212389,0.900900900900901,0.900900900900901
"SWH",1,2.56410256410256,2.38095238095238,2.22222222222222,2,1.78571428571429,1.61290322580645,1.47058823529412,1.36986301369863,1.28205128205128
"TAU",0.714285714285714,0.75187969924812,0.769230769230769,0.775193798449612,0.78125,0.78740157480315,0.793650793650794,0.8,0.806451612903226,0.813008130081301
"TUN",0.78740157480315,0.657894736842105,0.641025641025641,0.625,0.617283950617284,0.602409638554217,0.574712643678161,0.537634408602151,0.497512437810945,0.460829493087558
"TWH",1,2.4390243902439,2.27272727272727,2.04081632653061,1.85185185185185,1.66666666666667,1.53846153846154,1.42857142857143,1.35135135135135,1.28205128205128
"TYL",0.72463768115942,0.740740740740741,0.735294117647059,0.735294117647059,0.740740740740741,0.740740740740741,0.746268656716418,0.746268656716418,0.75187969924812,0.757575757575758
"WHK",0.813008130081301,0.492610837438424,0.480769230769231,0.50761421319797,0.520833333333333,0.523560209424084,0.523560209424084,0.518134715025907,0.518134715025907,0.520833333333333
"WIF",0.709219858156028,0.684931506849315,0.689655172413793,0.719424460431655,0.757575757575758,0.793650793650794,0.813008130081301,0.826446280991736,0.840336134453782,0.854700854700855
"WOL",0.613496932515337,0.72463768115942,0.671140939597315,0.628930817610063,0.598802395209581,0.584795321637427,0.578034682080925,0.578034682080925,0.578034682080925,0.581395348837209
"WPF",0.704225352112676,0.757575757575758,0.78125,0.813008130081301,0.826446280991736,0.819672131147541,0.833333333333333,0.847457627118644,0.862068965517241,0.87719298245614
"WSK",0.826446280991736,0.62111801242236,0.62111801242236,0.628930817610063,0.641025641025641,0.649350649350649,0.657894736842105,0.671140939597315,0.684931506849315,0.699300699300699
"WTF",0.714285714285714,0.719424460431655,0.72992700729927,0.775193798449612,0.78125,0.78125,0.775193798449612,0.75187969924812,0.746268656716418,0.740740740740741
"YTF",0.854700854700855,0.641025641025641,0.628930817610063,0.65359477124183,0.645161290322581,0.649350649350649,0.65359477124183,0.671140939597315,0.680272108843537,0.694444444444444
